Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,Age,Fare
0,3,male,1,0,A/5 21171,S,22.0,7.25
1,1,female,1,0,PC 17599,C,38.0,71.2833
1,3,female,0,0,STON/O2. 3101282,S,26.0,7.925
1,1,female,1,0,113803,S,35.0,53.1
0,3,male,0,0,373450,S,35.0,8.05
0,3,male,0,0,330877,Q,0.0,8.4583
0,1,male,0,0,17463,S,54.0,51.8625
0,3,male,3,1,349909,S,2.0,21.075
1,3,female,0,2,347742,S,27.0,11.1333
1,2,female,1,0,237736,C,14.0,30.0708
1,3,female,1,1,PP 9549,S,4.0,16.7
1,1,female,0,0,113783,S,58.0,26.55
0,3,male,0,0,A/5. 2151,S,20.0,8.05
0,3,male,1,5,347082,S,39.0,31.275
0,3,female,0,0,350406,S,14.0,7.8542
1,2,female,0,0,248706,S,55.0,16.0
0,3,male,4,1,382652,Q,2.0,29.125
1,2,male,0,0,244373,S,0.0,13.0
0,3,female,1,0,345763,S,31.0,18.0
1,3,female,0,0,2649,C,0.0,7.225
0,2,male,0,0,239865,S,35.0,26.0
1,2,male,0,0,248698,S,34.0,13.0
1,3,female,0,0,330923,Q,15.0,8.0292
1,1,male,0,0,113788,S,28.0,35.5
0,3,female,3,1,349909,S,8.0,21.075
1,3,female,1,5,347077,S,38.0,31.3875
0,3,male,0,0,2631,C,0.0,7.225
0,1,male,3,2,19950,S,19.0,7.8792
1,3,female,0,0,330959,Q,0.0,7.8958
0,3,male,0,0,349216,S,0.0,27.7208
0,1,male,0,0,PC 17601,C,40.0,146.5208
1,1,female,1,0,PC 17569,C,0.0,7.75
1,3,female,0,0,335677,Q,0.0,10.5
0,2,male,0,0,C.A. 24579,S,66.0,82.1708
0,1,male,1,0,PC 17604,C,28.0,52.0
0,1,male,1,0,113789,S,42.0,7.2292
1,3,male,0,0,2677,C,0.0,8.05
0,3,male,0,0,A./5. 2152,S,21.0,18.0
0,3,female,2,0,345764,S,18.0,11.2417
1,3,female,1,0,2651,C,14.0,9.475
0,3,female,1,0,7546,S,40.0,21.0
0,2,female,1,0,11668,S,27.0,7.8958
0,3,male,0,0,349253,C,0.0,41.5792
1,2,female,1,2,SC/Paris 2123,C,3.0,7.8792
1,3,female,0,0,330958,Q,19.0,8.05
0,3,male,0,0,S.C./A.4. 23567,S,0.0,15.5
0,3,male,1,0,370371,Q,0.0,7.75
1,3,female,0,0,14311,Q,0.0,21.6792
0,3,male,2,0,2662,C,0.0,17.8
0,3,female,1,0,349237,S,18.0,39.6875
0,3,male,4,1,3101295,S,7.0,7.8
0,3,male,0,0,A/4. 39886,S,21.0,76.7292
1,1,female,1,0,PC 17572,C,49.0,26.0
1,2,female,1,0,2926,S,29.0,61.9792
0,1,male,0,1,113509,C,65.0,35.5
1,1,male,0,0,19947,S,0.0,10.5
1,2,female,0,0,C.A. 31026,S,21.0,7.2292
0,3,male,0,0,2697,C,28.5,27.75
1,2,female,1,2,C.A. 34651,S,5.0,46.9
0,3,male,5,2,CA 2144,S,11.0,7.2292
0,3,male,0,0,2669,C,22.0,80.0
1,1,female,0,0,113572,-1,38.0,83.475
0,1,male,1,0,36973,S,45.0,27.9
0,3,male,3,2,347088,S,4.0,27.7208
0,1,male,0,0,PC 17605,C,0.0,15.2458
1,3,male,1,1,2661,C,0.0,10.5
1,2,female,0,0,C.A. 29395,S,29.0,8.1583
0,3,male,0,0,S.P. 3464,S,19.0,7.925
1,3,female,4,2,3101281,S,17.0,8.6625
0,3,male,2,0,315151,S,26.0,10.5
0,2,male,0,0,C.A. 33111,S,32.0,46.9
0,3,female,5,2,CA 2144,S,16.0,73.5
0,2,male,0,0,S.O.C. 14879,S,21.0,14.4542
0,3,male,1,0,2680,C,26.0,56.4958
1,3,male,0,0,1601,S,32.0,7.65
0,3,male,0,0,348123,S,25.0,7.8958
0,3,male,0,0,349208,S,0.0,8.05
0,3,male,0,0,374746,S,0.0,29.0
1,2,male,0,2,248738,S,0.83,12.475
1,3,female,0,0,364516,S,30.0,9.0
0,3,male,0,0,345767,S,22.0,9.5
1,3,male,0,0,345779,S,29.0,7.7875
1,3,female,0,0,330932,Q,0.0,47.1
0,1,male,0,0,113059,S,28.0,10.5
1,2,female,0,0,SO/C 14885,S,17.0,15.85
1,3,female,3,0,3101278,S,33.0,34.375
0,3,male,1,3,W./C. 6608,S,16.0,8.05
0,3,male,0,0,SOTON/OQ 392086,S,0.0,8.05
1,1,female,3,2,19950,S,23.0,8.05
0,3,male,0,0,343275,S,24.0,7.8542
0,3,male,0,0,343276,S,29.0,61.175
0,3,male,0,0,347466,S,20.0,20.575
0,1,male,1,0,W.E.P. 5734,S,46.0,7.25
0,3,male,1,2,C.A. 2315,S,26.0,8.05
0,3,male,0,0,364500,S,59.0,34.6542
0,3,male,0,0,374910,S,0.0,63.3583
0,1,male,0,0,PC 17754,C,71.0,23.0
1,1,male,0,1,PC 17759,C,23.0,26.0
1,2,female,0,1,231919,S,34.0,7.8958
0,2,male,1,0,244367,S,34.0,7.8958
0,3,female,0,0,349245,S,28.0,77.2875
0,3,male,0,0,349215,S,0.0,8.6542
0,1,male,0,1,35281,S,21.0,7.925
0,3,male,0,0,7540,S,33.0,7.8958
0,3,male,2,0,3101276,S,37.0,7.65
0,3,male,0,0,349207,S,28.0,7.775
